# Toolbag 5 Chinese dictionary
# Format: English;Chinese
Check for Updates;检查更新
Previews the region of the viewport that will be present in exported screenshots and videos.;预览将出现在导出截图和视频中的视口区域。
Enables the depth of field effect, which blurs areas in front or behind the focus point. This setting has an adverse effect on performance.;启用景深效果，模糊焦点前后区域。此设置会对性能产生不利影响。
Enables the sticky focus feature, which maintains the point of focus after the camera is re-positioned.;启用粘滞焦点功能，在摄像机重新定位后保持焦点。
Determines the location of the focal point in relation to the camera. This distance can also be set by middle-clicking on an object in the viewport.;确定焦点相对于摄像机的位置。也可以通过中键点击视口中的对象来设置该距离。
Engages the focus tool, which allows you to click a point on the screen to set the focus distance.;启用焦点工具，可点击屏幕上的点来设置焦点距离。
Controls distortion of the out of focus highlights near the edges of the frame.;控制画面边缘附近失焦高光的畸变。
Determines the aperture shape, which controls the appearance of the out of focus highlights and lens flares. New shapes can be created and loaded as well.;确定光圈形状，控制失焦高光和镜头光晕的外观。也可以创建和加载新形状。
The ratio of focal length to aperture diameter. Lower numbers give more defocus.;焦距与光圈直径之比。数值越小，失焦越明显。
Load a custom aperture shape that controls the out of focus highlights and lens flares.;加载自定义光圈形状，以控制失焦高光和镜头光晕。
Horizontal distortion ratio for simulating anamorphic lens bokeh.;用于模拟变形镜头散景的水平畸变比。
Sets the direction of the aperture shape for both out of focus highlights and lens flares.;设置失焦高光和镜头光晕的光圈形状方向。
Sets the intensity of the lens flare effect.;设置镜头光晕效果的强度。
Simulates a thin surface layer on the lens system, changing the color and appearance of lens flares.;模拟镜头系统上的薄表面层，改变镜头光晕的颜色和外观。
Sets the size of the individual flares or "ghosts".;设置单个光晕或“鬼影”的大小。
Sets the fringe offset for the red channel.;设置红色通道的边缘偏移 。
Sets the fringe offset for the green channel.;设置绿色通道的边缘偏移 。
Sets the fringe offset for the blue channel.;设置蓝色通道的边缘偏移 。
Renders a motion blur effect for final render animations and stills.;为最终渲染动画和静帧渲染运动模糊效果。
Allows the last animation frame to wrap back to the first frame for motion blur. This option works best for looping animations.;允许最后一帧动画回绕到第一帧以进行运动模糊。此选项最适合循环动画。
Controls the quality of the motion blur. More samples results in smoother blur but longer renders.;控制运动模糊的质量。更多采样会产生更平滑的模糊，但渲染时间更长。
Loads a post effect preset file.;加载后期效果预设文件。
Saves a post effect preset file.;保存后期效果预设文件。
Sets the method used to map high-dynamic-range values into low-dynamic range color space.;设置将高动态范围值映射到低动态范围色彩空间的方法。
Opens the curve editor, to manipulate the contrast of the render on a per-channel basis.;打开曲线编辑器，按通道调整渲染的对比度。
Sets the brightness of the render.;设置渲染的亮度。
Sets the color and intensity of the exposure effect.;设定曝光效果的颜色和强度。
Sets the brightness point for the brightest values. Increase to make the highlights brighter and decrease to recover clipped detail.;设置最亮值的亮度点。增大可使高光更亮，减小可恢复被裁剪的细节。
Sets the brightness point for the darkest values. Increase to recover details in the shadows and decrease to crush the blacks.;设置最暗值的亮度点。增大可恢复阴影中的细节，减小可压暗黑色。
Sets the brightness point for the middle values.;设置中间值的亮度点。
Sets the level of micro-contrast. Increase to enhance details and decrease to soften the render.;设置微对比度的级别。增大可增强细节，减小可柔化渲染。
Sets the disparity of value between light and dark.;设置明暗之间的数值差异。
Sets the color and intensity of the contrast effect.;设置对比效果的颜色和强度。
Sets the color and intensity of the contrast center effect.;设置对比中心效应的颜色和强度。
Controls the vibrancy of color in the rendered image.;控制渲染图像中色彩的鲜活度。
Sets the color and intensity of the saturation effect.;设置饱和效果的颜色和强度。
Sets the intensity of the sharpening effect, which increases the contrast of fine details to enhance acutance.;设置锐化效果的强度，提高精细细节的对比度以增强清晰度。
Controls the maximum allowable amount of the sharpen effect. Lower values will prevent major contrast alterations to the image in some cases.;控制锐化效果允许的最大量。较低的值可在某些情况下防止图像发生大幅对比度变化。
Sets the radius of the blur component of the bloom effect.;设置泛光（bloom）效果模糊部分的半径。
Sets the color and intensity of the bloom effect.;设置泛光效果的颜色和强度。
Sets the intensity of the vignette effect, which darkens the edges of the frame.;设置暗角效果的强度，使画面边缘变暗。
Sets the color and intensity of the vignette effect.;设置暗角效果的颜色和强度。
Sets how harsh or smooth the falloff of the vignette effect appears.;设置暗角效果衰减的锐利或平滑程度。
Sets the style of grain.;设置颗粒（噪点）的样式。
Toggles randomized preview of the grain effect.;切换颗粒效果随机预览。
Sets the strength of the grain effect.;设置颗粒效果的强度。
Sets the texture or coarseness of the grain effect.;设置颗粒效果的纹理或粗糙度。
Sets the overall opacity of the scratches and stains.;设置划痕和污渍的整体不透明度。
Controls the amount scratches and stains visible in each frame.;控制每帧可见的划痕和污渍数量。
Controls the size of scratches and stains.;控制划痕和污渍的大小。
Determines the active channel.;确定活动通道。
Confirms changes and closes the curve editor.;确认更改并关闭曲线编辑器。
Resets curve adjustments in all channels.;重置所有通道的曲线调整。
Units of measurement used for this scene.;此场景使用的测量单位。
A custom scale factor that will apply to all measurements in this scene.;应用于此场景所有测量的自定义比例因子。
Use unit information in imported files for proper unit conversion upon import. Disable this to override file units with the "Imported" unit setting.;导入时使用导入文件中的单位信息进行正确的单位转换。禁用此选项可用“导入”单位设置覆盖文件单位。
Determines whether or not objects in the scene occlude light.;确定场景中的物体是否会遮挡光线。
Determines whether or not this light casts lens flare.;确定此灯光是否投射镜头光晕。
Sets the lens flare strength of the light.;设置灯光的镜头光晕强度。
Sets the color and intensity of the light.;设置灯光的颜色和强度。
Enables the use of temperature to adjust light color.;允许使用色温来调整灯光颜色。
Produces a color tint based on the black body radiation temperature, in degrees Kelvin. This result is multiplied with the light color.;根据黑体辐射温度（以开尔文度计）产生色调。该结果与灯光颜色相乘。
Select from a list of preset color temperatures, calibrated to common light sources.;从预设色温列表中选择，这些色温已针对常见光源校准。
Determines the geometry of the light source.;确定光源的几何形状。
Sets how large the light source is, which in turn defines how blurry the shadows are.;设置光源的大小，进而决定阴影的模糊程度。
Sets how much the light is stretched along the X axis, useful for creating non-spherical lights such as fluorescent tube lighting.;设置灯光沿 X 轴拉伸的程度，用于创建荧光灯管等非球形灯光。
Sets how much the light is stretched along the Y axis, useful for creating non-spherical lights such as fluorescent tube lighting.;设置灯光沿 Y 轴拉伸的程度，用于创建荧光灯管等非球形灯光。
Cast light from both sides of the rectangle.;从矩形两侧投射光线。
Makes the light shape size only affect shadow softness and not the amount of emitted light.;使灯光形状大小仅影响阴影柔和度，而不影响发射光量。
Sets whether or not the light shape shows up in the rendered image.;设置灯光形状是否出现在渲染图像中。
Sets the width of the spot light cone. This setting only applies when light type is set to "Spot".;设置聚光灯锥体的宽度。此设置仅在灯光类型设为“聚光灯”时适用。
Sets the softness of the spot light cone. This setting only applies when light type is set to "Spot".;设置聚光灯锥体的柔和度。此设置仅在灯光类型设为“聚光灯”时适用。
Loads an image to mask the light shape.;加载图像来遮罩灯光形状。
Sets how many times the gel image repeats.;设置光效图（gel）图像重复的次数。
Determines whether or not the mesh occludes light.;确定网格是否遮挡光线。
Determines whether or not the backsides of polygons are drawn. This should be disabled for meshes such as alpha planes which require both sides to be visible.;确定是否绘制多边形的背面。对于需要双面可见的网格（如 alpha 平面），应禁用此选项。
Selects a tangent space algorithm for this mesh. This selection should match the convention in which a normal map was baked.;为此网格选择切线空间算法。此选择应与法线贴图烘焙时使用的约定一致。
Attempts to fix any issues arising from mirrored tangent spaces. Issues may arise on meshes with mirrored UVs.;尝试修复由镜像切线空间引起的问题。带有镜像 UV 的网格可能出现问题。
Adaptively removes redundant polygons in the subdivided result, resulting in a similar mesh with fewer polygons.;自适应地移除细分结果中的冗余多边形，得到多边形更少但形状相似的网格。
Selects the wireframe display for subdivided meshes.;为细分网格选择线框显示。
This option will retain the shape of open edges in Catmull-Clark mode.;此选项将在 Catmull-Clark 模式下保留开放边的形状。
The number of repeated subdivision steps.;重复细分的次数。
Enables mesh subdivision, creating a higher resolution version of the original mesh.;启用网格细分，生成分辨率更高的原始网格版本。
Loads a custom sky light background, which will also be used to light the scene. Use a 360 degree panoramic HDR image for best results.;加载自定义天光背景，该背景也会用于照亮场景。使用 360 度全景 HDR 图像可获得最佳效果。
Exports the current sky to a .tbsky archive.;将当前天空导出为 .tbsky 存档。
Exports the current sky to the library.;将当前天空导出到库中。
Opens the sky library for a handy selection of sky presets.;打开天空库，方便选择天空预设。
Sets the exposure of the image-based lighting, child lights, and background image.;设置基于图像的光照、子灯光和背景图像的曝光。
Sets the exposure of child lights in relation to the master sky brightness setting.;设置子灯光相对于主天空亮度设置的曝光。
Toggles importance sampling of sky light image. Disabling this option can increase ray tracing performance at the expense of sky lighting quality.;切换天光图像的重要性采样。禁用此选项可以提高光线追踪性能，但会牺牲天空光照质量。
Gives a preview of the current sky lighting image, and allows creation (left click) movement (left button drag) and deletion (right click) of child lights.;提供当前天空光照图像的预览，并允许创建（左键点击）、移动（左键拖动）和删除（右键点击）子灯光。
Multiplies the exposure of specific values in the sky light image, which is useful for controlling contrast by making highlights brighter or darker.;乘以天光图像中特定值的曝光量，通过使高光更亮或更暗来控制对比度。
Sets the exposure point for the selective brightness effect. For instance, a value of 2 means that areas that are brighter than 2 will be affected.;设置选择性亮度效果的曝光点。例如，值为 2 表示亮度高于 2 的区域会受到影响。
Sets the intensity of the selective brightness effect. Values lower than 1 will darken the image content, while values higher than 1 will brighten it.;设置选择性亮度效果的强度。低于 1 的值会使图像内容变暗，高于 1 的值会使其变亮。
Removes any selective brightness alterations.;移除所有选择性亮度修改。
Applies the current settings for selective brightening.;应用当前的选择性提亮设置。
Sets the color of the background. This setting only applies when the backdrop mode is set to "Color".;设置背景颜色。此设置仅在背景模式设为“颜色”时适用。
Controls how blurry the background image is. This setting only applies when the backdrop mode is set to "Blurred Sky".;控制背景图像的模糊程度。此设置仅在背景模式设为“模糊天空”时适用。
Location settings for specifying the scene's point on the earth.;用于指定场景在地球上位置的位置设置。
Degrees latitude on earth, from -90 south to 90 north.;地球纬度，从南纬 -90 到北纬 90。
Degrees longitude on earth, from -180 west to 180 east.;地球经度，从西经 -180 到东经 180。
Automatically computes a rough estimate of the time zone setting when longitude is changed.;当经度变化时，自动计算时区设置的粗略估计。
Time zone, specified as hours relative to Universal Coordinated Time (UTC).;时区，以相对于协调世界时（UTC）的小时数表示。
The time of day, as HH:MM. Generally hours run from 0 to 23, though values above this range will work too. This time is specified in the current time zone.;一天中的时间，格式为 HH:MM。通常小时为 0 到 23，超出此范围的值也可用。此时间以当前时区指定。
The month of the year, from 1 to 12. This affects the seasonal position of the sun.;一年中的月份，从 1 到 12。这会影响太阳的季节性位置。
The day of the month. This affects the seasonal position of the sun.;一个月中的某一天。这会影响太阳的季节性位置。
A multiplier on the brightness of the sun, relative to the sky. A value of 1 is most accurate, but lower values can sometimes be easier to work with.;太阳亮度相对于天空的倍数。值为 1 时最准确，但较低的值有时更易于使用。
A multiplier on the apparent size of the sun, as seen from earth. A value of 1 is most accurate.;从地球看到的太阳表观大小的倍数。值为 1 时最准确。
Controls the amount of particulate matter in the atmosphere, which will affect the appearance of scattered light in the sky.;控制大气中微粒物质的含量，这会影响天空中散射光的外观。
A pair of colors specifies the appearance of the ground plane near the scene and toward the horizon, respectively.;一对颜色分别指定靠近场景的地平面和朝向地平线的地平面的外观。
Shifts the color temperature of the sun and sky.;偏移太阳和天空的色温。
Shifts the color balance of the sun and sky, being complementary to white balance.;偏移太阳和天空的色彩平衡，与白平衡互补。
Adjusts the intensity of colors in the sun and sky.;调整太阳和天空的色彩强度。
The color of the fog medium.;雾介质的颜色。
Determines how dense if the fog medium.;确定雾介质的密度。
This is the maximum occlusion the medium can provide, regardless of distance.;这是介质无论距离多远都能提供的最大遮蔽量。
The mode of the fog volume.;雾体积的模式。
Determines the scattering color of light passing through the object.;确定穿过物体的光线的散射颜色。
The height of the bottom boundary of the fog.;雾底部边界的高度。
Height range that the fog occupies.;雾所占的高度范围。
The height of the top boundary of the fog.;雾顶部边界的高度。
Point at which the bottom falloff ends.;底部衰减结束的点。
The range of fog falloff.;雾的衰减范围。
Point at which the top falloff start.;顶部衰减开始的点。
The path to the external model file. Toolbag will modify this path to be relative to the Toolbag scene file, when possible.;外部模型文件的路径。Toolbag 会在可能时将路径修改为相对于 Toolbag 场景文件。
Browse for a new external model file. This will clear and reload the contained scene objects from disk.;浏览新的外部模型文件。这将清除并从磁盘重新加载包含的场景对象。
Enables realtime automatic reloading of this model file.;启用此模型文件的实时自动重新加载。
Move all parts back to original position when reloading the model - disable to retain user edits to sub-parts.;重新加载模型时将所有部件移回原位——禁用可保留对子部件的用户编辑。
Forces a reload of the external model file.;强制重新加载外部模型文件。
Clears the animation rotation value.;清除动画旋转值。
An image to present in the background of the rendered scene. Backdrops apply only to cameras under which they have been parented.;显示在渲染场景背景中的图像。背景只适用于其父级为它的摄像机。
Determines whether to use the alpha channel of the provided image for transparency.;确定是否使用所提供图像的 alpha 通道实现透明。
Selects an overall opacity for the backdrop image.;为背景图像选择总体不透明度。
Sets the opacity of the received shadows.;设置接收阴影的不透明度。
Fades shadows out near the edges of the shadow catcher.;在阴影捕捉器边缘附近淡出阴影。
A texture to mask the fade effect over the surface of the shadow catcher.;用于在阴影捕捉器表面遮罩淡出效果的纹理。
Selects which color channel from the Fade texture to use.;选择要使用的淡出纹理中的颜色通道。
Radius of the edge fade effect.;边缘淡出效果的半径。
Falloff of the edge fade effect.;边缘淡出效果的衰减。
Enables receiving shadow from the sky light (ray tracing only).;启用接收来自天空光的阴影（仅限光线追踪）。
Enables receiving reflections and bounced lighting from nearby objects (ray tracing only).;启用接收来自附近物体的反射和反弹光照（仅限光线追踪）。
Enables turntable rotation during animation playback.;在动画播放期间启用转盘旋转。
Rate at which the turntable and its sub-objects will rotate, in degrees per second.;转盘及其子物体的旋转速度，以每秒度数计。
Select a subroutine for this part of the material shader.;为此材质着色器的这一部分选择子程序。
Select a blend mode for this part of the material layer.;为此材质图层的这一部分选择混合模式。
Determines how UV coordinates are stored (UV, UDIM) or generated (Triplanar).;确定 UV 坐标的存储方式（UV、UDIM）或生成方式（三平面）。
Controls which UV channel will be used for texture sampling.;控制用于纹理采样的 UV 通道。
Controls the scale by which UV texture coordinates are scaled. Higher values result in more tilling.;控制 UV 纹理坐标的缩放比例。较高的值会产生更多的平铺。
Controls the amount of horizontal texture tiling.;控制水平纹理平铺的数量。
Controls the amount of vertical texture tiling.;控制垂直纹理平铺的数量。
Specifies a horizontal texture offset.;指定水平纹理偏移。
Specifies a vertical texture offset.;指定垂直纹理偏移。
Specifies a texture rotation.;指定纹理旋转。
Sets the degree of anisotropic filtering applied to this material. Higher values look better but may reduce performance.;设置应用于此材质的各向异性过滤程度。较高的值看起来更好，但可能降低性能。
Enables texel filtering for this material. Results in sharp "pixelated" texel borders when disabled.;为此材质启用纹素过滤。禁用时会产生尖锐的“像素化”纹素边缘。
Sets how sharp or soft the transition between the different axes or projection planes is.;设置不同轴或投影平面之间过渡的锐利或柔和程度。
Albedo or diffuse color map input for standard materials.;标准材质的反照率（albedo）或漫反射颜色贴图输入。
The texture that will be used to control the albedo or diffuse color.;用于控制反照率或漫反射颜色的纹理。
Sets the albedo or diffuse color.;设置反照率或漫反射颜色。
Albedo or diffuse map input with support for vertex colors.;支持顶点颜色的反照率或漫反射贴图输入。
Determines whether vertex color information is sRGB corrected or used as linear space.;确定顶点颜色信息是经 sRGB 校正还是作为线性空间使用。
Enables use of the vertex alpha channel, which is used as an alpha mask for transparency when "Alpha from Albedo" is enabled in a Transparency shader.;启用顶点 alpha 通道的使用，当“透明度”着色器中启用了“从反照率取 Alpha”时，该通道用作透明的 alpha 遮罩。
A texture that controls the brightness and color of the sheen effect.;控制光泽（sheen）效果亮度和颜色的纹理。
Adjusts the brightness of microfiber sheen, a view-dependent reflection effect.;调整微纤维光泽的亮度，这是一种与视角相关的反射效果。
The color of the sheen effect.;光泽效果的颜色。
Modifies the extent to which sheen color combines with the final effect.;修改光泽颜色与最终效果的结合程度。
A texture which specifies roughness for the purpose of microfiber shading. Roughness will affect the shape and size of the sheen highlights.;用于微纤维着色的粗糙度纹理。粗糙度会影响光泽高光的形状和大小。
Selects the color channel used in the roughness map.;选择粗糙度贴图中使用的颜色通道。
Adjusts the microfiber roughness to affect the shape and size of sheen highlights.;调整微纤维粗糙度以影响光泽高光的形状和大小。
Inverts the roughness values, providing the opposite appearance.;反转粗糙度值，产生相反的外观。
Standard displacement mapping, which uses a grayscale heightmap to displace geometry inwards and outwards.;标准置换贴图，使用灰度高度图将几何体向内和向外置换。
Determines which channel in the displacement map will be used.;确定将使用置换贴图中的哪个通道。
The texture that will be used to control displacement intensity and direction.;用于控制置换强度和方向的纹理。
Sets the intensity of the displacement effect.;设置置换效果的强度。
Sets whether the displacement map is applied relative to the bounding box scale. If disabled, absolute scale in scene units is used.;设置置换贴图是否相对于边界框比例应用。禁用时，使用场景单位的绝对比例。
Adjusts the contrast of the height map.;调整高度图的对比度。
Adjusts the values used for the contrast center of the height map.;调整用于高度图对比中心的数值。
Offsets the map contents.;偏移贴图内容。
Merge shared vertices along UV seams using the averaged position.;使用平均位置合并 UV 接缝处的共享顶点。
Generate fresh surface normals using the displaced vertices.;使用置换后的顶点生成新的表面法线。
Vector displacement mapping can displace geometry inwards, outwards and in multiple directions via the use of a colored vector displacement map.;矢量置换贴图可通过使用彩色矢量置换贴图，将几何体向内、向外及多个方向置换。
Sets whether the vector displacement map uses tangent or world space.;设置矢量置换贴图使用切线空间还是世界空间。
Inverts the content in the X axis or red channel of the texture.;反转纹理 X 轴或红色通道中的内容。
Inverts the content in the Y axis or green channel of the texture.;反转纹理 Y 轴或绿色通道中的内容。
Inverts the content in the Z axis or blue channel of the texture.;反转纹理 Z 轴或蓝色通道中的内容。
Sets whether the displacement map is applied relative to the bounding box scale. If disabled, absolute scale is used.;设置置换贴图是否相对于边界框比例应用。禁用时，使用绝对比例。
When enabled emission is attenuated by the clearcoat layer so that it looks like it's coming from inside the object.;启用后，发射会被清漆层衰减，使其看起来像是来自物体内部。
The texture that will be used to blend between "Temperature" and "Minimum Temperature".;用于在“温度”和“最低温度”之间混合的纹理。
Sets the strength of the heat effect.;设置热效应的强度。
Sets the temperature, in degrees kelvin, which determines the brightness and color of the light emitted.;设置温度（以开尔文度为单位），决定发射光的亮度和颜色。
Determines the value that black is mapped to in the texture, which sets the minimum brightness of the light emission.;确定纹理中黑色映射到的值，该值设置光发射的最低亮度。
The emissive model allows you to load a brightness or glow texture to define areas of your material that emit light.;自发光模型允许你加载亮度或发光纹理，以定义材质中发光的区域。
The texture that will be used to control the emissive or glow effect.;用于控制自发光或发光效果的纹理。
Sets the emissive intensity and color.;设置自发光强度和颜色。
Sets the intensity of the emissive or effect.;设置自发光效果的强度。
Determines which UV channel the emissive map makes use of.;确定自发光贴图使用的 UV 通道。
Specifies the color of the fluorescence effect. Fluorescent materials emit light when absorbing nonvisible wavelengths, such as ultraviolet.;指定荧光效果的颜色。荧光材料在吸收紫外线等不可见波长时会发光。
Determines whether to treat sky light as a source of activating illumination.;确定是否将天空光视为激发照明的来源。
Determines whether to treat direct light as a source of activating illumination.;确定是否将直接光视为激发照明的来源。
Specifies how sparse or densely populated the glint flakes are.;指定闪烁片（glint）的稀疏或密集程度。
Specifies the intensity of the glint effect. Values darker than white fade to Beckmann reflections.;指定闪烁效果的强度。比白色暗的值会衰减为贝克曼反射。
Determines the channel of the texture from which to read the glint map content.;确定用于读取闪烁贴图内容的纹理通道。
The texture used to control the intensity of the glint effect. Values darker than white fade to Beckmann reflections.;用于控制闪烁效果强度的纹理。比白色暗的值会衰减为贝克曼反射。
Sets the glint roughness value, 1 corresponds to rough reflections, while 0 corresponds to smooth reflections.;设置闪烁粗糙度值，1 对应粗糙反射，0 对应平滑反射。
Determines the channel of the texture from which to read the glint roughness map content.;确定用于读取闪烁粗糙度贴图内容的纹理通道。
The texture used to specify glint roughness. White corresponds to rough glints, while black corresponds to smooth glints.;用于指定闪烁粗糙度的纹理。白色对应粗糙闪烁，黑色对应平滑闪烁。
Specifies the size of the glint flakes.;指定闪烁片的大小。
When enabled the glint roughness is synchronized with the roughness or gloss settings.;启用后，闪烁粗糙度与粗糙度或光泽设置同步。
Specifies the maximum gloss value.;指定最大光泽值。
The texture used to control glossiness or roughness. White corresponds to smooth surfaces while black corresponds to rough surfaces.;用于控制光泽或粗糙度的纹理。白色对应平滑表面，黑色对应粗糙表面。
Determines the channel of the texture from which to read gloss or roughness content.;确定用于读取光泽或粗糙度内容的纹理通道。
Sets the glossiness value, 1 corresponds to smooth surfaces while 0 corresponds to rough surfaces.;设置光泽度值，1 对应平滑表面，0 对应粗糙表面。
Specifies the maximum roughness value.;指定最大粗糙度值。
The texture used to specify surface roughness. White corresponds to a rough surface while black corresponds to smooth surfaces.;用于指定表面粗糙度的纹理。白色对应粗糙表面，黑色对应平滑表面。
Determines the channel of the texture from which to read roughness content.;确定用于读取粗糙度内容的纹理通道。
Inverts the output of the roughness shader. Useful for loading gloss maps in place of roughness maps.;反转粗糙度着色器的输出。用于加载光泽贴图以代替粗糙度贴图。
The texture used to specify microsurface detail. This map can be used as either smoothness or roughness.;用于指定微表面细节的纹理。此贴图既可作为光滑度也可作为粗糙度使用。
Determines the channel of the texture from which to read microsurface values.;确定用于读取微表面值的纹理通道。
Specifies the maximum microsurface value. Values from the texture are scaled to be no greater than this value.;指定最大微表面值。纹理中的值会被缩放，使其不超过此值。
Specifies the minimum microsurface value. Values from the texture are shifted to be no less than this value.;指定最小微表面值。纹理中的值会被平移，使其不低于此值。
Sets the intensity of the horizon smoothing effect, which increases the apparent smoothness of the material at extreme angles.;设置地平线平滑效果的强度，该效果可提高材质在极端角度下的表观光滑度。
The texture that will be used to control glossiness or roughness. White corresponds to smooth surfaces while black corresponds to rough surfaces.;用于控制光泽度或粗糙度的纹理。白色对应平滑表面，黑色对应粗糙表面。
Determines the channel of the texture from which to read the gloss or roughness content.;确定用于读取光泽或粗糙度内容的纹理通道。
Inverts the content of the gloss map. Useful for loading roughness maps where white corresponds to rough surfaces while black corresponds to smooth surfaces.;反转光泽贴图的内容。用于加载这类粗糙度贴图：白色对应粗糙表面，黑色对应平滑表面。
The occlusion model allows you to load ambient occlusion and cavity maps, ideal for any material that has crevices which would block light.;遮蔽模型允许你加载环境光遮蔽和空腔贴图，非常适合任何有阻挡光线的缝隙的材质。
The texture that will be used to control the ambient occlusion effect, which uses a grayscale map to occlude ambient diffuse sky light.;用于控制环境光遮蔽效果的纹理，它使用灰度贴图来遮蔽环境漫反射天空光。
Determines which channel of the texture will be used for the ambient occlusion map.;确定环境光遮蔽贴图将使用纹理的哪个通道。
Determines which UV channel the ambient occlusion map makes use of.;确定环境光遮蔽贴图使用的 UV 通道。
Determines which vertex color channel is used for ambient occlusion content.;确定用于环境光遮蔽内容的顶点颜色通道。
The texture that will be used to control the cavity effect, which uses a grayscale map to occlude diffuse and specular light.;用于控制空腔效果的纹理，它使用灰度贴图来遮蔽漫反射和高光。
Determines which channel of the texture will be used for the cavity map content.;确定空腔贴图内容使用纹理的哪个通道。
Determines how much influence the cavity map has on diffuse light.;确定空腔贴图对漫反射光的影响程度。
Determines how much influence the cavity map has on specular reflections.;确定空腔贴图对高光反射的影响程度。
Determines which channel of the curvature map is used. This setting only applies in grayscale mode.;确定使用曲率贴图的哪个通道。此设置仅适用于灰度模式。
Adjusts the scale of the curvature values.;调整曲率值的比例。
Sets the mask value that determines the strength of transmission. When a mask map is loaded this value should be set to 1.;设置决定透射强度的遮罩值。加载遮罩贴图时，此值应设为 1。
The texture that will be used to set the mask value. Brighter pixels correspond to stronger transmission.;用于设置遮罩值的纹理。较亮的像素对应较强的透射。
Determines which channel of the texture will be used for the transmission mask.;确定用于透射遮罩的纹理通道。
Inverts the mask value so that darker pixels correspond to stronger transmission.;反转遮罩值，使较暗的像素对应较强的透射。
Uses the material's albedo alpha value to provide a transmission mask.;使用材质的反照率 alpha 值来提供透射遮罩。
A texture which controls scatter depth and color, as a proportion of the Scatter Depth setting.;控制散射深度和颜色的纹理，作为“散射深度”设置的比例。
Specifies the distance light will scatter in this material. This value is specified in millimeters;using accurate scene scale is advised.;指定光线在此材质中的散射距离。此值以毫米为单位；建议使用准确的场景比例。
Determines the scatter color.;确定散射颜色。
A texture used to mask and color the fuzz effect.;用于遮罩和着色绒毛（fuzz）效果的纹理。
Controls the strength of the "fuzz" effect, which approximates the appearance of fine hairs.;控制“绒毛”效果的强度，该效果近似于细小毛发的外观。
Determines the color of the fuzz effect.;确定绒毛效果的颜色。
Masks the fuzz appearance with the material gloss value.;使用材质的光泽值遮罩绒毛外观。
Determines the primary direction of scattering, either forwards or backwards. A value of zero is even, isotropic scattering.;确定散射的主方向：向前或向后。值为零时为均匀的各向同性散射。
A color tint for light passing through the object.;为穿过物体的光线添加色调。
Uses the material's albedo to provide refraction tint.;使用材质的反照率来提供折射色调。
The texture that will be used to set the index of refraction value.;用于设置折射率值的纹理。
Sets the index of refraction. Higher values will distort light to a greater degree but won't affect surface reflectivity.;设置折射率。较高的值会使光线产生更大程度的畸变，但不会影响表面反射率。
Automatically derive index of refraction from Reflectivity. Uncheck this box to override with index value below.;自动从反射率推导折射率。取消勾选此框可用下方的折射率值覆盖。
Lower values limit the distortion effect in rasterized views, which is often useful for thin lenses. This setting does not affect ray traced renders.;较低的值会限制光栅化视图中的畸变效果，这对薄透镜通常很有用。此设置不影响光线追踪渲染。
Controls the amount of scattering of light passing through the object.;控制穿过物体的光线的散射量。
A texture which modulates the scattering color of light passing through the object.;调制穿过物体的光线散射颜色的纹理。
Modifies refraction roughness. Positive values make refraction more rough than reflection, while negative values make refraction less rough than reflection.;修改折射粗糙度。正值使折射比反射更粗糙，负值使折射比反射更平滑。
Specifies the primary direction of scattering, either forwards or backwards. A value of zero is even, isotropic scattering.;指定散射的主方向：向前或向后。值为零时为均匀的各向同性散射。
A texture specifying the brightness and color of light passing through from the opposite side of the object.;指定从物体另一侧穿过的光线的亮度和颜色的纹理。
Tints the translucency effect.;为半透明效果添加色调。
Uses the material's albedo color for translucency.;使用材质的反照率颜色进行半透明。
Determines the amount of light scattering inside the surface.;确定表面内部的光线散射量。
A texture that controls the radial roughness of the hair.;控制毛发径向粗糙度的纹理。
Determines which channel of the texture will be used for the radial roughness map content.;确定用于径向粗糙度贴图内容的纹理通道。
Applies a color tint to the hair.;为毛发应用色调。
Shifts the highlights along the hair strand.;沿发丝移动高光。
Inverts the radial roughness values, providing the opposite appearance.;反转径向粗糙度值，产生相反的外观。
A texture that controls the direction of the hair. (Hair Cards Only);控制毛发方向的纹理。（仅限毛发卡片）
Remaps vector data from the range [0,1] to [-1,1]. Disable this setting with floating-point textures.;将矢量数据从 [0,1] 范围重新映射到 [-1,1]。使用浮点纹理时禁用此设置。
The anisotropic reflection model allows you to define the highlight direction for complex surfaces like hair, fur and brushed metal.;各向异性反射模型允许你为毛发、毛皮和拉丝金属等复杂表面定义高光方向。
Swaps the direction map content in the red and green channels.;交换红色和绿色通道中的方向贴图内容。
Sets the intensity of the anisotropic reflection effect, use to define the highlight shape for complex surfaces.;设置各向异性反射效果的强度，用于定义复杂表面的高光形状。
Sets direction in which the anisotropic reflections face. This value can be used for hair when all UVs point in the same general direction.;设置各向异性反射朝向的方向。当所有 UV 都指向大致相同方向时，此值可用于毛发。
Blinn-Phong is a standard reflection model with a relatively harsh edge to the highlight shape.;Blinn-Phong 是一种标准反射模型，其高光形状边缘相对生硬。
Sets the gloss or roughness value relative to the base value.;设置相对于基础值的光泽或粗糙度值。
Sets the reflection intensity relative to the base value.;设置相对于基础值的反射强度。
Sets the color of the secondary reflection intensity.;设置二次反射强度的颜色。
Sets the Fresnel intensity relative to the base value.;设置相对于基础值的菲涅尔强度。
